,代號,名稱
0,1201,味全
1,1203,味王
2,1210,大成
3,1213,大飲
4,1215,卜蜂
5,1216,統一
6,1217,愛之味
7,1218,泰山
8,1219,福壽
9,1220,台榮
10,1225,福懋油
11,1227,佳格
12,1229,聯華
13,1231,聯華食
14,1232,大統益
15,1233,天仁
16,1234,黑松
17,1235,興泰
18,1236,宏亞
19,1256,鮮活果汁-KY
20,1258,其祥-KY
21,1264,德麥
22,1702,南僑
23,1737,臺鹽
24,1796,金穎生技
25,4205,中華食
26,4207,環泰
27,4415,台原藥
28,4712,南璋
29,2926,誠品生活
30,3064,泰偉
31,3083,網龍
32,3086,華義
33,3293,鈊象
34,3546,宇峻
35,3687,歐買尬
36,4803,VHQ-KY
37,4806,昇華
38,4946,辣椒
39,5263,智崴
40,5478,智冠
41,6101,寬魚國際
42,6111,大宇資
43,6144,得利影
44,6169,昱泉
45,6180,橘子
46,6294,智基
47,6482,弘煜科
48,6542,隆中
49,6596,寬宏藝術
50,8446,華研
51,8450,霹靂
52,8489,三貝德
53,8923,時報
54,9949,琉園
55,2880,華南金
56,2881,富邦金
57,2881A,富邦特
58,2881B,富邦金乙特
59,2882,國泰金
60,2882A,國泰特
61,2882B,國泰金乙特
62,2883,開發金
63,2884,玉山金
64,2885,元大金
65,2886,兆豐金
66,2887,台新金
67,2887E,台新戊特
68,2887F,台新戊特二
69,2888,新光金
70,2889,國票金
71,2890,永豐金
72,2891,中信金
73,2891B,中信金乙特
74,2892,第一金
75,5820,日盛金
76,5880,合庫金
